Symbol,Amount,Price,Worth
ETH,50985568.46,2630.47,1.34116E+11
Zepe.io,750000,0.224140084,168105.0627
PIKA,7.1121E+12,2.15E-08,152888.1816
makiswap.io,169990077,3.51E-05,5970.376949
HEX,555555,0.010477643,5820.907072
USDT,4933.853283,1.0001,4934.346668
STAKE,40000,0.122697456,4907.898225
USDT,3500,1.0001,3500.35
OPT,73995.51621,0.034024231,2517.640512
HEX,555555,0.002398027,1332.236129
BNB,1.068309684,594.6,635.2169383
UNI-V2,1.54E-06,266126451.3,411.0700005
LCX,2020.01122,0.170274846,343.9570988
ETHY,100,2.633486866,263.3486866
ETH,0.06292662,2630.47,165.5265861
AAVE,1,164.9636325,164.9636325
WLC,414.3733424,0.283074558,117.2985509
OOKS,405.1514655,0.25154644,101.9144089
pwx,100000.22,0.000980557,98.05590377
DPI,1,84.95634713,84.95634713
POLY,1337,0.041813688,55.90490112
eMTRG,100,0.501937449,50.19374486
GRT,200,0.185993109,37.19862187
USDC,29.66,1,29.66
MEME,2,14.30397511,28.60795021
SHROOM,1337,0.020248046,27.07163752
WETH,0.010001,2630.47,26.30733047
PEN,69420000,3.55E-07,24.63052312
WHACKD,8322.701863,0.002447899,20.37313218
USDC,20.1,1,20.1
EUROC,17,1.118823323,19.0199965
SEQ,1,18.99426625,18.99426625
LRC,121,0.13763458,16.65378419
MKR,0.00880337,1596.228812,14.05219284
USDT,4933.853282,0.00281162,13.87211863
MATH,60,0.214505122,12.8703073
SHLIAPA,11.11111111,1.046770142,11.63077936
BOR,0.5,22.51142305,11.25571153
SCHWAB,100000000,1.12E-07,11.15586986
MIR,666,0.016337893,10.88103652
ETH,2875970.564,2630.47,7565154290
WETH,753.1423876,2630.47,1981118.456
ABSHIBA.com,8824230,0.139363906,1229779.162
PLS,9895971026,4.60E-05,454887.2054
ETH,65.27520384,2630.47,171704.4654
Zepe.io,750000,0.224140084,168105.0627
PIKA,6.02878E+12,2.15E-08,129600.1777
BDAG,1000000,0.120715882,120715.8818
ETH,14.77598349,2630.47,38867.78129
SHIB,1465516634,1.85E-05,27155.45252
BNB,44.0453005,594.6,26189.33568
USDT,21195.26279,1.0001,21197.38231
AI-A,23000,0.695270713,15991.22639
ETH,3.790500005,2630,9969.015012
DAI,8245.134602,0.9999,8244.310088
WETH,2.383575629,2630.47,6269.924186
USDC,6124.268984,1,6124.268984
WETH,2.278620668,2630,5992.772358
xDai,5078.110251,0.9999,5077.60244
UNI,640.424735,7.331671664,4695.383882
BUSD,4157.428602,1.000625569,4160.02936
USDC,961871.4952,0.003611931,3474.213892
WETH,1.2,2629.06,3154.872
ETH,1.156943838,2630.47,3043.306058
ETH,1.11864202,2630,2942.028513
RARI,1414.393334,2.065108479,2920.875667
AVAX,81.45540381,29,2362.206711
BOOM,62000,0.036944927,2290.585478
USDT,1480.066456,1.0001,1480.214463
WLC,5000,0.283074558,1415.372791
ETH,0.47893,2630,1259.5859
ETH,0.462070576,2630,1215.245615
POL,2864.863032,0.4238,1214.128953
ACT,60000,0.020148633,1208.917973
Factr,700000,0.001433246,1003.272275
WETH,0.339564823,2630,893.0554849
WETH,0.328657246,2630.47,864.5230251
WBTC,0.0114255,64955.86,742.1531784
WETH,15401528.29,4.59E-05,706.5446404
GFAL,31429.04538,0.022366049,702.9435628
WETH,0.246345696,2630,647.8891806
