ID,Name,Chain,Site URL,Logo URL,Has Supported Portfolio
0x,0x,eth,https://0x.org,https://static.debank.com/image/project/logo_url/0x/140b607264f4741133c35eb32c6bc314.png,TRUE
0xastra,0xAstra,eth,https://0xastra.xyzg,https://static.debank.com/image/project/logo_url/0xastra/a4ba7cbccbcd79e703366d4cd2cb11d6.png,FALSE
0xmons,0xmons,eth,https://0xmons.xyz,https://static.debank.com/image/project/logo_url/0xmons/125fd50693dcfb1a1c4a720fb27f017d.png,TRUE
0xproof,Proof of Anon,eth,https://0xproof.io/,https://static.debank.com/image/project/logo_url/0xproof/4e1eafcc7d02a19de0a84ac6e369529b.png,FALSE
0xscans,0xScans AI,eth,https://stake.0xscans.com,https://static.debank.com/image/project/logo_url/0xscans/c91ddd88691d990f2e76aac9a32960b4.png,TRUE
0xsplits,0xSplits,eth,https://app.0xsplits.xyz/,https://static.debank.com/image/project/logo_url/0xsplits/4f13b2360668fcf8bbeed8ff61c5e6f7.png,TRUE
1inch2,1inch,eth,https://app.1inch.io,https://static.debank.com/image/project/logo_url/1inch2/a4fcc0d0e8daddd0313ad14172e11aff.png,TRUE
1sd,1sd,eth,https://1sd.finance,https://static.debank.com/image/project/logo_url/1sd/282ea88a5417110e1f96c90f2cf00e0c.png,FALSE
1yuan,Yuan Finance,eth,https://1yuan.finance,https://static.debank.com/image/project/logo_url/1yuan/56daedc4adc980ee4f159cfbec6b73ff.png,FALSE
5ire,5ire,eth,https://5ire.org,https://static.debank.com/image/project/logo_url/5ire/0725858c37875b3403bad2e124228e18.png,TRUE
88mph,88mph V1,eth,https://88mph.app,https://static.debank.com/image/project/logo_url/88mph/aa6c276fb60d25d91118197887c74025.png,FALSE
88mph2,88mph V2,eth,https://88mph.app,https://static.debank.com/image/project/logo_url/88mph2/aa6c276fb60d25d91118197887c74025.png,TRUE
88mph3,88mph V3,eth,https://88mph.app,https://static.debank.com/image/project/logo_url/88mph3/0d9e6a7f445957e8c6e74409003f4254.png,TRUE
99bitcoins,99Bitcoins,eth,https://presale.99bitcoins.com,https://static.debank.com/image/project/logo_url/99bitcoins/5aa013c8479ffae11b38e72ad04865e1.png,TRUE
9inch,9inch,eth,https://app.9inch.io,https://static.debank.com/image/project/logo_url/pls_9inch/8f8ba8879da1d234e6f2e2f27c3f9e04.png,TRUE
a8bridge,Ancient8 Bridge,eth,https://bridge.ancient8.gg/native-bridge,https://static.debank.com/image/project/logo_url/a8bridge/2763d0d1e497878c34ec9c973064eb3b.png,FALSE
aave,Aave V1,eth,https://app-v1.aave.com,https://static.debank.com/image/project/logo_url/aave/2e117f9e596fa126c58a82315137c7e6.png,TRUE
aave2,Aave V2,eth,https://app.aave.com,https://static.debank.com/image/project/logo_url/aave2/b8d1ef85570855176b102edf8cda6f8d.png,TRUE
aave3,Aave V3,eth,https://app.aave.com,https://static.debank.com/image/project/logo_url/aave3/07bc2403c8c357d2317db15d64872314.png,TRUE
aavegotchi,Aavegotchi,eth,https://aavegotchi.com,https://static.debank.com/image/project/logo_url/aavegotchi/a097772ba1ae12c6231eef55510f1bcf.png,FALSE
aavemorpho,Morpho AAVE,eth,https://aavev2.morpho.org,https://static.debank.com/image/project/logo_url/aavemorpho/4411a843b5778b39ac04bb0f7743c153.png,TRUE
aavemorpho3,Morpho AAVE V3,eth,https://aavev3.morpho.org,https://static.debank.com/image/project/logo_url/aavemorpho3/4411a843b5778b39ac04bb0f7743c153.png,TRUE
aave_amm,Aave AMM,eth,https://app.aave.com,https://static.debank.com/image/project/logo_url/aave_amm/b8d1ef85570855176b102edf8cda6f8d.png,TRUE
aave_dao,Aave Governance,eth,https://vote.onaave.com,https://static.debank.com/image/project/logo_url/aave_dao/1d8e95649a0b297d6e3715c5c2438dae.png,FALSE
abracadabra,Abracadabra,eth,https://abracadabra.money,https://static.debank.com/image/project/logo_url/abracadabra/8f3f0914e27971bcc14bd91bc418460d.png,TRUE
acbtc,ACoconut,eth,https://acbtc.fi,https://static.debank.com/image/project/logo_url/acbtc/2c9f8a685d6c5c5e5d9014e73704308f.png,FALSE
accordai,Accord AI,eth,https://accordai.tech/,https://static.debank.com/image/project/logo_url/accordai/22d213daba4baedecdf4aef4cfb5bb47.png,TRUE
